,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT,LATITUDE,LONGITUDE
0,7101.0,Red Light / Speed Camera,MCEVOY STREET WATERLOO WESTBOUND,,Y,144,-33.9008384,151.2038166
1,7102.0,Red Light / Speed Camera,MCEVOY STREET ALEXANDRIA EASTBOUND,,Y,182,-33.9021792,151.1983597
2,7103.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN WESTBOUND,Y,Y,176,-34.0699488,150.8133216
3,7104.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN EASTBOUND,,Y,168,-34.0699488,150.8133216
4,7105.0,Red Light / Speed Camera,CLEVELAND STREET SURRY HILLS EASTBOUND,,Y,187,-33.8905391,151.209491
5,7106.0,Red Light / Speed Camera,BOURKE STREET ZETLAND WESTBOUND,,Y,181,-33.9042168,151.2052427
6,7107.0,Red Light / Speed Camera,VICTORIA ROAD PARRAMATTA WESTBOUND,,Y,197,-33.8087148,151.0156856
7,7108.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA SOUTHBOUND,,Y,168,-33.898126,150.9202186
8,7109.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA NORTHBOUND,,Y,166,-33.898126,150.9202186
9,7110.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN EASTBOUND,,Y,209,-34.0735629,150.8004793
10,7111.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN WESTBOUND,,Y,198,-34.0722088,150.8011279
11,7112.0,Red Light / Speed Camera,SILVERWATER ROAD AUBURN NORTHBOUND,,Y,145,-33.83,151.051
12,7113.0,Red Light / Speed Camera,SILVERWATER ROAD SILVERWATER SOUTHBOUND,,Y,119,-33.8339895,151.0482217
13,7114.0,Red Light / Speed Camera,CANTERBURY ROAD WILEY PARK EASTBOUND,,Y,217,-33.9301004,151.0692622
14,7115.0,Red Light / Speed Camera,CANTERBURY ROAD ROSELANDS WESTBOUND,,Y,217,-33.929085,151.0742297
15,7118.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WESTMEAD EASTBOUND,,Y,177,-33.8193659,150.9872066
16,7119.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY MERRYLANDS WESTBOUND,,Y,166,-33.7094058,150.3730633
17,7120.0,Red Light / Speed Camera,SOUTH DOWLING STREET SURRY HILLS NORTHBOUND,,Y,109,-33.887432,151.217484
18,7121.0,Red Light / Speed Camera,SOUTH DOWLING STREET PADDINGTON SOUTHBOUND,,Y,176,-33.8854947,151.2181785
19,7122.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS EASTBOUND,Y,Y,143,-33.7696906,150.7711683
20,7123.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS WESTBOUND,,Y,134,-33.7689491,150.7698267
21,7124.0,Red Light / Speed Camera,WALDRON ROAD CHESTER HILL  EASTBOUND,,Y,145,-33.8826161,150.9987625
22,7125.0,Red Light / Speed Camera,WALDRON ROAD SEFTON WESTBOUND,,Y,94,-33.8838631,151.0076965
23,7126.0,Red Light / Speed Camera,KINGSWAY MIRANDA EASTBOUND,,Y,203,-34.0346031,151.1054626
24,7127.0,Red Light / Speed Camera,WOODVILLE ROAD VILLAWOOD SOUTHBOUND,,Y,207,-33.8860241,150.9747461
25,7128.0,Red Light / Speed Camera,HENRY LAWSON DRIVE LANSDOWNE NORTHBOUND,,Y,125,-33.8979765,150.9735349
26,7129.0,Red Light / Speed Camera,PARRAMATTA ROAD CONCORD EASTBOUND,,Y,113,-33.8684834,151.1027729
27,7130.0,Red Light / Speed Camera,PARRAMATTA ROAD BURWOOD WESTBOUND,,Y,128,-33.8689722,151.1059001
28,7131.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE SOUTHBOUND,,Y,185,-33.9545883,151.1376661
29,7132.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE NORTHBOUND,,Y,109,-33.950264,151.139268
30,7139.0,Red Light / Speed Camera,CRAIGEND STREET DARLINGHURST WESTBOUND,,Y,142,-33.8765697,151.2245431
31,7140.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK NORTHBOUND,,Y,149,-33.9031803,151.2222986
32,7141.0,Red Light / Speed Camera,FLINDERS STREET PADDINGTON SOUTHBOUND,,Y,99,-33.8853066,151.2183574
