LOCATION_CODE,LATITUDE,LONGITUDE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
6501.0,-29.1483662,153.30632830000002,Fixed Point To Point Site Pair,PACIFIC HIGHWAY NEW ITALY NORTHBOUND,,Y,5
6502.0,-29.4130023,153.2419014,Fixed Point To Point Site Pair,PACIFIC HIGHWAY HARWOOD SOUTHBOUND,,Y,13
6503.0,-33.4251502,149.6506842,Fixed Point To Point Site Pair,GRT WSTN HWY RAGLAN WESTBOUND,,Y,5
6505.0,-34.959948100000005,149.4077462,Fixed Point To Point Site Pair,FEDERAL HIGHWAY COLLECTOR SOUTHBOUND,,Y,47
6507.0,-35.95086510000001,149.14531350000001,Fixed Point To Point Site Pair,MONARO HIGHWAY BREDBO NORTHBOUND,,Y,1
6508.0,-28.95,153.466667,Fixed Point To Point Site Pair,PACIFIC HIGHWAY WARDELL NORTHBOUND,,Y,13
6509.0,-29.095812699999996,153.3396554,Fixed Point To Point Site Pair,PACIFIC HIGHWAY WOODBURN SOUTHBOUND,,Y,14
6510.0,-31.3689451,152.8011527,Fixed Point To Point Site Pair,PACIFIC HIGHWAY TAREE NORTHBOUND,,Y,19
6511.0,-32.1168512,152.3691625,Fixed Point To Point Site Pair,PACIFIC HIGHWAY NABIAC SOUTHBOUND,,Y,47
6512.0,-31.071707,152.845752,Fixed Point To Point Site Pair,MACLEAY VALLEY WAY  KEMPSEY NORTHBOUND,,Y,2
6513.0,-31.3689451,152.8011527,Fixed Point To Point Site Pair,PACIFIC HIGHWAY PORT MACQUARIE SOUTHBOUND,,Y,2
6514.0,-30.9089827,152.917814,Fixed Point To Point Site Pair,PACIFIC HIGHWAY PORT MACQUARIE NORTHBOUND,,Y,58
6515.0,-31.655119,152.7303902,Fixed Point To Point Site Pair,PACIFIC HIGHWAY KEW SOUTHBOUND,,Y,46
6518.0,-35.004096000000004,148.1107374,Fixed Point To Point Site Pair,HUME HIGHWAY GUNDAGAI SOUTHBOUND,,Y,39
6519.0,-34.8975544,148.2054061,Fixed Point To Point Site Pair,HUME HIGHWAY COOLAC NORTHBOUND,,Y,23
6520.0,-34.8975544,148.2054061,Fixed Point To Point Site Pair,HUME HIGHWAY COOLAC SOUTHBOUND,,Y,45
6521.0,-34.8047375,148.9114194,Fixed Point To Point Site Pair,HUME HIGHWAY YASS NORTHBOUND,,Y,20
6522.0,-33.9671027,147.1603969,Fixed Point To Point Site Pair,NEWELL HIGHWAY WEST WYALONG SOUTHBOUND,,Y,9
6523.0,-33.3971888,147.9910276,Fixed Point To Point Site Pair,NEWELL HIGHWAY FORBES NORTHBOUND,,Y,15
6524.0,-31.673838800000002,148.7131866,Fixed Point To Point Site Pair,NEWELL HIGHWAY GILGANDRA NORTHBOUND,,Y,19
6525.0,-31.981883500000002,148.583311,Fixed Point To Point Site Pair,NEWELL HIGHWAY EUMUNGERIE SOUTHBOUND,,Y,22
6526.0,-32.5216439,148.27984530000003,Fixed Point To Point Site Pair,NEWELL HIGHWAY TOMINGLEY NORTHBOUND,,Y,19
6527.0,-32.671618,148.19665039999998,Fixed Point To Point Site Pair,NEWELL HIGHWAY PEAK HILL SOUTHBOUND,,Y,19
6528.0,-32.3168065,150.939234,Fixed Point To Point Site Pair,NEW ENGLAND HIGHWAY MUSWELLBROOK NORTHBOUND,,Y,2
6529.0,-32.5665781,151.1783896,Fixed Point To Point Site Pair,NEW ENGLAND HWAY SINGLETON SOUTHBOUND,,Y,3
6531.0,-32.3168065,150.939234,Fixed Point To Point Site Pair,NEW ENGLAND HIGHWAY MUSWELLBROOK SOUTHBOUND,,Y,1
6532.0,-32.141819,150.2901128,Fixed Point To Point Site Pair,GOLDEN HIGHWAY MERRIWA NORTHBOUND,,Y,1
6533.0,-32.3296058,150.5576112,Fixed Point To Point Site Pair,GOLDEN HIGHWAY SANDY HOLLOW EASTBOUND,,Y,3
6536.0,-32.8558397,148.9120034,Fixed Point To Point Site Pair,MITCHELL HIGHWAY CUNDUMBUL NORTHBOUND,,Y,1
6537.0,-33.1144274,148.93465780000002,Fixed Point To Point Site Pair,MITCHELL HIGHWAY MOLONG SOUTHBOUND,,Y,7
6538.0,-34.4140559,150.8810579,Fixed Point To Point Site Pair,PRINCES MOTORWAY GWYNNEVILLE SOUTHBOUND,,Y,101
6539.0,-34.4014426,150.87903590000002,Fixed Point To Point Site Pair,PRINCES MOTORWAY MOUNT OUSLEY ROAD MOUNT OUSLEY SOUTHBOUND,,Y,42
6541.0,-34.2389023,150.6884551,Fixed Point To Point Site Pair,PICTON ROAD WILTON WESTBOUND,,Y,2
6542.0,-30.5213977,152.98271719999997,Fixed Point To Point Site Pair,PACIFIC HIGHWAY URUNGA NORTHBOUND,,Y,2
6543.0,-30.5877937,152.9994698,Fixed Point To Point Site Pair,GIINAGAY WAY VALLA SOUTHBOUND,,Y,2
6544.0,-29.4130023,153.2419014,Fixed Point To Point Site Pair,PACIFIC HIGHWAY HARWOOD NORTHBOUND,,Y,9
6545.0,-29.5419919,153.1578404,Fixed Point To Point Site Pair,PACIFIC HIGHWAY TYNDALE SOUTHBOUND,,Y,12
6546.0,-31.3689451,152.8011527,Fixed Point To Point Site Pair,PACIFIC HIGHWAY BALLINA NORTHBOUND,,Y,2
6547.0,-28.935507300000005,153.471953,Fixed Point To Point Site Pair,PACIFIC HIGHWAY WARDELL SOUTHBOUND,,Y,26
6548.0,-33.5682239,150.2051199,Fixed Point To Point Site Pair,GRT WSTN HWY LITTLE HARTLEY WESTBOUND,,Y,77
6549.0,-33.5441917,150.1776561,Fixed Point To Point Site Pair,GRT WSTN HWY HARTLEY WESTBOUND,,Y,36
6550.0,-33.5441917,150.1776561,Fixed Point To Point Site Pair,GRT WSTN HWY HARTLEY EASTBOUND,,Y,72
6551.0,-33.5682239,150.2051199,Fixed Point To Point Site Pair,GREAT WESTERN HIGHWAY LITTLE HARTLEY EASTBOUND,,Y,41
6552.0,-31.0829153,152.8750523,Fixed Point To Point Site Pair,PACIFIC HIGHWAY KEMPSEY NORTHBOUND,,Y,24
6553.0,-31.3689451,152.8011527,Fixed Point To Point Site Pair,PACIFIC HIGHWAY PORT MACQUARIE SOUTHBOUND,,Y,26
6554.0,-30.978676699999998,150.7447064,Fixed Point To Point Site Pair,OXLEY HIGHWAY BECTIVE WESTBOUND,,Y,12
6555.0,-30.9848887,150.21698480000003,Fixed Point To Point Site Pair,OXLEY HIGHWAY GUNNEDAH WESTBOUND,,Y,3
6556.0,-30.978676699999998,150.7447064,Fixed Point To Point Site Pair,OXLEY HIGHWAY BECTIVE EASTBOUND,,Y,1
6557.0,-31.0924098,150.934488,Fixed Point To Point Site Pair,OXLEY HIGHWAY TAMWORTH EASTBOUND,,Y,3
7101.0,-33.9008384,151.2038166,Red Light / Speed Camera,MCEVOY STREET WATERLOO WESTBOUND,,Y,57
7102.0,-33.9021792,151.1983597,Red Light / Speed Camera,MCEVOY STREET ALEXANDRIA EASTBOUND,,Y,90
7103.0,-34.0699488,150.8133216,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN WESTBOUND,,Y,201
7104.0,-34.0699488,150.8133216,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN EASTBOUND,,Y,244
7105.0,-33.8905391,151.20949099999999,Red Light / Speed Camera,CLEVELAND STREET SURRY HILLS EASTBOUND,,Y,186
7106.0,-33.90421679999999,151.20524269999999,Red Light / Speed Camera,BOURKE STREET ZETLAND WESTBOUND,,Y,131
7107.0,-33.8087148,151.01568559999998,Red Light / Speed Camera,VICTORIA ROAD PARRAMATTA WESTBOUND,,Y,120
7108.0,-33.898126,150.9202186,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA SOUTHBOUND,,Y,113
7109.0,-33.898126,150.9202186,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA NORTHBOUND,,Y,156
7110.0,-34.0735629,150.8004793,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN EASTBOUND,,Y,84
7111.0,-34.0722088,150.8011279,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN WESTBOUND,,Y,112
7112.0,-33.83,151.05100000000002,Red Light / Speed Camera,SILVERWATER ROAD AUBURN NORTHBOUND,,Y,165
7113.0,-33.8339895,151.0482217,Red Light / Speed Camera,SILVERWATER ROAD SILVERWATER SOUTHBOUND,,Y,149
7114.0,-33.93010039999999,151.0692622,Red Light / Speed Camera,CANTERBURY ROAD WILEY PARK EASTBOUND,,Y,181
7115.0,-33.929085,151.0742297,Red Light / Speed Camera,CANTERBURY ROAD ROSELANDS WESTBOUND,,Y,174
7118.0,-33.8193659,150.98720659999998,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WESTMEAD EASTBOUND,,Y,326
