,Unnamed: 0,OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,SECTION_CLAUSE,FACE_VALUE,CAMERA_IND,CAMERA_TYPE,LOCATION_CODE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_BAND,SPEED_IND,POINT_TO_POINT_IND,RED_LIGHT_CAMERA_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,CINS_IND,FOOD_IND,BICYCLE_TOY_ETC_IND,TOTAL_NUMBER,TOTAL_VALUE
7,37,2014-2015,01/05/2015,83051,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,436,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,436
48,245,2014-2015,01/12/2014,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,835,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,5,4175
119,507,2016-2017,01/06/2017,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,265,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,409,108385
159,618,2016-2017,01/01/2017,83039,Motor vehicle exceed speed limit - over 20 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,568,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1704
184,669,2014-2015,01/01/2015,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,545,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,7,3815
242,782,2017-2018,01/07/2017,83406,Proceed through red traffic light - Camera recorded - Individual,ROAD RULES 2014,59(1),439,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,77,33803
272,832,2013-2014,01/06/2014,74706,Exceed speed limit over 20 km/h - Camera Detected - School Zone,ROAD RULES 2008,20,531,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,14,7434
328,927,2015-2016,01/04/2016,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,560,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,2240
331,931,2016-2017,01/09/2016,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,872,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,4,3488
377,1018,2016-2017,01/01/2017,83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,114,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,340,38760
382,1028,2012-2013,01/06/2013,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,105,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,17,1785
422,1095,2015-2016,01/01/2016,83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,112,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,245,27440
457,1150,2013-2014,01/03/2014,74732,Proceed through red traffic light - Camera Detected - School Zone - Individual,ROAD RULES 2008,59(1),506,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,NOT STOP AT RED LIGHT,,,Y,,,,,,,,4,2024
477,1174,2013-2014,01/03/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,106,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,36,3816
479,1180,2016-2017,01/01/2017,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,455,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,455
642,1438,2013-2014,01/04/2014,74711,Exceed speed limit 10 km/h and under - Camera Detected,ROAD RULES 2008,20,319,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,319
660,1465,2014-2015,01/10/2014,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,254,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,35,8890
680,1494,2013-2014,01/09/2013,24731,Proceed through red traffic light - Camera Detected - Corporation,ROAD RULES 2008,59(1),2025,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,1,2025
