LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT
7101.0,Red Light / Speed Camera,MCEVOY STREET WATERLOO WESTBOUND,,Y,144
7102.0,Red Light / Speed Camera,MCEVOY STREET ALEXANDRIA EASTBOUND,,Y,182
7103.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN WESTBOUND,Y,Y,176
7104.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS CAMPBELLTOWN EASTBOUND,,Y,168
7105.0,Red Light / Speed Camera,CLEVELAND STREET SURRY HILLS EASTBOUND,,Y,187
7106.0,Red Light / Speed Camera,BOURKE STREET ZETLAND WESTBOUND,,Y,181
7107.0,Red Light / Speed Camera,VICTORIA ROAD PARRAMATTA WESTBOUND,,Y,197
7108.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA SOUTHBOUND,,Y,168
7109.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CABRAMATTA NORTHBOUND,,Y,166
7110.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN EASTBOUND,,Y,209
7111.0,Red Light / Speed Camera,KELLICAR ROAD CAMPBELLTOWN WESTBOUND,,Y,198
7112.0,Red Light / Speed Camera,SILVERWATER ROAD AUBURN NORTHBOUND,,Y,145
7113.0,Red Light / Speed Camera,SILVERWATER ROAD SILVERWATER SOUTHBOUND,,Y,119
7114.0,Red Light / Speed Camera,CANTERBURY ROAD WILEY PARK EASTBOUND,,Y,217
7115.0,Red Light / Speed Camera,CANTERBURY ROAD ROSELANDS WESTBOUND,,Y,217
7118.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY WESTMEAD EASTBOUND,,Y,177
7119.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY MERRYLANDS WESTBOUND,,Y,166
7120.0,Red Light / Speed Camera,SOUTH DOWLING STREET SURRY HILLS NORTHBOUND,,Y,109
7121.0,Red Light / Speed Camera,SOUTH DOWLING STREET PADDINGTON SOUTHBOUND,,Y,176
7122.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS EASTBOUND,Y,Y,143
7123.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY ST MARYS WESTBOUND,,Y,134
7124.0,Red Light / Speed Camera,WALDRON ROAD CHESTER HILL  EASTBOUND,,Y,145
7125.0,Red Light / Speed Camera,WALDRON ROAD SEFTON WESTBOUND,,Y,94
7126.0,Red Light / Speed Camera,KINGSWAY MIRANDA EASTBOUND,,Y,203
7127.0,Red Light / Speed Camera,WOODVILLE ROAD VILLAWOOD SOUTHBOUND,,Y,207
7128.0,Red Light / Speed Camera,HENRY LAWSON DRIVE LANSDOWNE NORTHBOUND,,Y,125
7129.0,Red Light / Speed Camera,PARRAMATTA ROAD CONCORD EASTBOUND,,Y,113
7130.0,Red Light / Speed Camera,PARRAMATTA ROAD BURWOOD WESTBOUND,,Y,128
7131.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE SOUTHBOUND,,Y,185
7132.0,Red Light / Speed Camera,PRINCES HIGHWAY ROCKDALE NORTHBOUND,,Y,109
7139.0,Red Light / Speed Camera,CRAIGEND STREET DARLINGHURST WESTBOUND,,Y,142
7140.0,Red Light / Speed Camera,ANZAC PARADE MOORE PARK NORTHBOUND,,Y,149
7141.0,Red Light / Speed Camera,FLINDERS STREET PADDINGTON SOUTHBOUND,,Y,99
7144.0,Red Light / Speed Camera,WOODVILLE ROAD GRANVILLE NORTHBOUND,,Y,245
7145.0,Red Light / Speed Camera,WINDSOR ROAD BAULKHAM HILLS WESTBOUND,Y,Y,244
7146.0,Red Light / Speed Camera,WINDSOR ROAD BAULKHAM HILLS EASTBOUND,,Y,104
7148.0,Red Light / Speed Camera,HUME HIGHWAY LIVERPOOL SOUTHBOUND,,Y,233
