,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,RED_LIGHT_CAMERA_IND
0,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
1,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
2,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
3,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
4,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
6,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
7,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
8,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
9,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
10,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
11,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
13,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
14,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
15,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
16,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
18,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
19,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
20,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
21,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
22,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
23,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
24,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
25,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
26,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
27,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
28,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
29,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,
30,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
32,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,Y,
33,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
34,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
35,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
36,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
37,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
38,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
39,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
40,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
41,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
42,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
43,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
45,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
46,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
49,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
50,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
51,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
52,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
53,22900.0,Mobile Digital Speed Camera,MOWBRAY ROAD LANE COVE NORTH EASTBOUND,,Y,
56,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
57,9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,
58,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
59,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
60,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
61,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
62,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
63,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
64,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,Y,
66,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
67,22901.0,Mobile Digital Speed Camera,MOWBRAY ROAD LANE COVE NORTH WESTBOUND,,Y,
68,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
70,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
71,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
72,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,
75,9656.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,Y,
77,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
78,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,Y,
79,9655.0,Fixed Digital Speed Camera,LANE COVE TUNNEL LANE COVE EASTBOUND,,Y,
