LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
6501.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY NEW ITALY NORTHBOUND,,Y,5
6502.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY HARWOOD SOUTHBOUND,,Y,13
6503.0,Fixed Point To Point Site Pair,GRT WSTN HWY RAGLAN WESTBOUND,,Y,5
6505.0,Fixed Point To Point Site Pair,FEDERAL HIGHWAY COLLECTOR SOUTHBOUND,,Y,47
6507.0,Fixed Point To Point Site Pair,MONARO HIGHWAY BREDBO NORTHBOUND,,Y,1
6508.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY WARDELL NORTHBOUND,,Y,13
6509.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY WOODBURN SOUTHBOUND,,Y,14
6510.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY TAREE NORTHBOUND,,Y,19
6511.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY NABIAC SOUTHBOUND,,Y,47
6512.0,Fixed Point To Point Site Pair,MACLEAY VALLEY WAY  KEMPSEY NORTHBOUND,,Y,2
6513.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY PORT MACQUARIE SOUTHBOUND,,Y,2
6514.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY PORT MACQUARIE NORTHBOUND,,Y,58
6515.0,Fixed Point To Point Site Pair,PACIFIC HIGHWAY KEW SOUTHBOUND,,Y,46
6518.0,Fixed Point To Point Site Pair,HUME HIGHWAY GUNDAGAI SOUTHBOUND,,Y,39
6519.0,Fixed Point To Point Site Pair,HUME HIGHWAY COOLAC NORTHBOUND,,Y,23
6520.0,Fixed Point To Point Site Pair,HUME HIGHWAY COOLAC SOUTHBOUND,,Y,45
6521.0,Fixed Point To Point Site Pair,HUME HIGHWAY YASS NORTHBOUND,,Y,20
6522.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY WEST WYALONG SOUTHBOUND,,Y,9
6523.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY FORBES NORTHBOUND,,Y,15
6524.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY GILGANDRA NORTHBOUND,,Y,19
6525.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY EUMUNGERIE SOUTHBOUND,,Y,22
6526.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY TOMINGLEY NORTHBOUND,,Y,19
6527.0,Fixed Point To Point Site Pair,NEWELL HIGHWAY PEAK HILL SOUTHBOUND,,Y,19
6528.0,Fixed Point To Point Site Pair,NEW ENGLAND HIGHWAY MUSWELLBROOK NORTHBOUND,,Y,2
6529.0,Fixed Point To Point Site Pair,NEW ENGLAND HWAY SINGLETON SOUTHBOUND,,Y,3
6531.0,Fixed Point To Point Site Pair,NEW ENGLAND HIGHWAY MUSWELLBROOK SOUTHBOUND,,Y,1
6532.0,Fixed Point To Point Site Pair,GOLDEN HIGHWAY MERRIWA NORTHBOUND,,Y,1
6533.0,Fixed Point To Point Site Pair,GOLDEN HIGHWAY SANDY HOLLOW EASTBOUND,,Y,3
6536.0,Fixed Point To Point Site Pair,MITCHELL HIGHWAY CUNDUMBUL NORTHBOUND,,Y,1
6537.0,Fixed Point To Point Site Pair,MITCHELL HIGHWAY MOLONG SOUTHBOUND,,Y,7
6538.0,Fixed Point To Point Site Pair,PRINCES MOTORWAY GWYNNEVILLE SOUTHBOUND,,Y,101
6539.0,Fixed Point To Point Site Pair,PRINCES MOTORWAY MOUNT OUSLEY ROAD MOUNT OUSLEY SOUTHBOUND,,Y,42
